Recall,Precision,Threshold
0.01,1.0,0.8690345
0.02,1.0,0.8559081
0.03,0.875,0.81735116
0.04,0.9,0.8059418
0.05,0.8461538461538461,0.79973876
0.06,0.8571428571428571,0.79920155
0.08,0.8181818181818182,0.77731127
0.09,0.8,0.77526504
0.1,0.8148148148148148,0.77296716
0.2,0.8,0.72595406
0.3,0.7764705882352941,0.6958575
0.4,0.7457627118644068,0.6590521
0.5,0.7432432432432432,0.6315099
0.6,0.7213114754098361,0.61013097
0.7,0.6936936936936937,0.5799302
0.8,0.6666666666666666,0.54968995
0.9,0.6111111111111112,0.47624516
1.0,0.55,0.2365663
